商品中文名,商品日文名,小标题,商品代码,单价,预定数,已购买,购物车,状态,备注
一期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ,maimai でらっくす,00081165,4400,17,17,0,已完成,拼14+抱3
二期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ vol.2,maimai でらっくす,00101425,7150,15,15,0,已完成,拼10+抱5
三期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ vol.3,maimai でらっくす,00135936,7150,12,12,0,已完成,拼11+抱1
四期方吧唧,トレーディング角丸スクエア缶バッジ,maimai でらっくす PRiSM PLUS,00209464,7865,12,12,0,已完成,拼8+抱4(新单2107764+4)
二期亚克力,トレーディング maimai でらっくす アクリルスタンドパネル,maimai でらっくす,00101428,9295,3,3,0,已完成,拼2+抱1(新单2107198+1)
四期亚克力,トレーディングアクリルスタンドパネル,maimai でらっくす PRiSM PLUS,00208872,9295,5,5,0,已完成,拼5(新单2107198+1)
新水彩吧唧,トレーディング Ani-Art 第2弾 缶バッジ,maimai でらっくす PRiSM PLUS,00213983,5280,6,6,0,已完成,拼5+抱1(新单2109213+3)
dx水彩成对吧唧,トレーディング Ani-Art 缶バッジ,maimai でらっくす,00147819,5676,7,7,0,已完成,拼7(新单2107764+7)
角色圆吧唧,トレーディング缶バッジ,maimai でらっくす PRiSM PLUS,00209024,6435,3,3,0,已完成,拼2+抱1(新单2109213+3)
拍立得,トレーディングインスタントカメラ風イラストカード,maimai でらっくす PRiSM PLUS,00209022,3575,4,4,0,已完成,拼3+抱1(新单2109213+4)
生写,トレーディングブロマイド,maimai でらっくす PRiSM PLUS,00208875,3575,2,2,0,已完成,拼1+抱1(新单2107198+2)
新角色立牌,トレーディングアクリルスタンド,maimai でらっくす PRiSM PLUS,00209027,11440,2,2,0,已完成,拼2(新单2107198+2)
旧角色立牌,トレーディングアクリルスタンド,maimai でらっくす,00101422,10560,2,2,0,已完成,拼2(新单2107198+2)
合计,,,,,90,90,0,全部完成,
