订单日期,订单号,金额JPY,商品类型,发货预计,收款RMB,收款日期,状态,备注
2025-09-25,2067301,15730,maimai角丸缶バッジ,2026-01下旬,0,,待收款,PRiSM PLUS 2BOX+特典
2025-10-06,2076715,66550,オンゲキ缶バッジ,2026-02上旬,0,,待收款,ver.B 5BOX + vol.2 5BOX
2025-10-06,2076724,21450,maimai缶バッジvol.3,2026-01下旬,0,,待收款,vol.3 3BOX
2025-11-18,2120011,57640,オンゲキ缶バッジ,2026-02上旬,0,,待收款,ver.A 4BOX + ver.B 11BOX
2025-11-18,2120034,88110,オンゲキ缶バッジ,2026-02上旬,0,,待收款,ver.B 1BOX + vol.2 9BOX
2025-11-18,2122500,84183,オンゲキ缶バッジ+Ani-Art,2026-02上旬,0,,待收款,vol.2 6BOX + Make UP 1BOX + 角丸AB + Ani-Art 2BOX
2025-11-21,2123383,98505,オンゲキ缶バッジ+亚克力,2026-02上旬,0,,待收款,ver.B 2BOX + vol.2 5BOX + Make UP 4BOX + 亚克力verB 1BOX
2025-11-21,2123389,37400,オンゲキ缶バッジ,2026-02上旬,0,,待收款,vol.2 4BOX (AmazonPay)
2025-11-24,2124918,58630,オンゲキ补货全系列,2026-02上旬,0,,待收款,ver.A+1 ver.B+1 vol.2+1 MakeUP+2 角丸A+1 拍立得2 缶B2 (Amex)
2025-10-22,2088956,87780,CHUNITHM系列,2026-01中旬,4476.76,2025-10-22,已收款,缶バッジ+Ani-Art+特典
2025-11-01,2101581,86350,maimai缶バッジ3种,2026-01下旬,0,,待收款,vol.1/2/3组合 14BOX
2025-11-01,2101620,57750,maimai缶バッジ3种,2026-01下旬,0,,待收款,vol.1/2/3组合 10BOX
2025-11-02,2103941,28600,maimai缶バッジvol.2,2026-01下旬,0,,待收款,vol.2 4BOX
2025-11-02,2103950,23595,maimai角丸缶バッジ,2026-01下旬,0,,待收款,PRiSM PLUS 3BOX+特典
2025-11-04,2105419,55770,maimaiアクスタ+缶バッジ,2026-01下旬,0,,待收款,アクスタ 6BOX+特典
2025-11-06,2107098,73700,maimai缶バッジ3种,2026-01下旬,0,,待收款,vol.1/2/3补货 13BOX
2025-11-06,2107198,93335,maimai亚克力+缶バッジ+生写,2026-01下旬,0,,待收款,アクスタ+缶バッジ+ブロマイド 11BOX+特典
2025-11-07,2107764,87032,maimai Ani-Art缶バッジ,2026-01下旬,0,,待收款,Ani-Art+角丸缶バッジ 14BOX+特典
2025-11-07,2109213,49445,maimai最终补单,2026-01下旬,0,,待收款,拍立得+缶バッジ+Ani-Art 10BOX+特典
2025-11-07,2109346,14520,maimai单领周边,2026-01下旬,0,,待收款,单独购买maimai周边 7件
合计,,1186075,,,45508.16,,,20单
,,,,,,,,
收款明细,,,,,,,
CHUNITHUM,87780,,,4476.76,2025-10-22,已收款,
maimai,607277,,,31031.4,2025-11-06/11-12,已收款,已收10000+17000+4031.4
オンゲキ,491018,,,10000,,部分收款,7单共72BOX-全部下单完成(ver.A 5+ver.B 20+vol.2 30+Make UP 7+角丸A 2+角丸B 1+Ani-Art 2+亚克力verB 1+拍立得2+缶B 2)-按0.052汇率应收25532.94
