游戏系列,商品中文名,商品日文名,预定数,已下单,未下单,单价,已下金额,未下金额,状态
maimai,一期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ,17,17,0,4400,74800,0,已完成
maimai,二期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ vol.2,15,15,0,7150,107250,0,已完成
maimai,三期方吧唧,トレーディング maimai でらっくす スクエア缶バッジ vol.3,12,12,0,7150,85800,0,已完成
maimai,四期方吧唧,トレーディング角丸スクエア缶バッジ (PRiSM PLUS),12,8,4,7865,62920,31460,待补单
maimai,二期亚克力,トレーディング maimai でらっくす アクリルスタンドパネル,3,3,0,9295,27885,0,已完成
maimai,四期亚克力,トレーディングアクリルスタンドパネル (PRiSM PLUS),5,5,0,9295,46475,0,已完成
maimai,新水彩吧唧,トレーディング Ani-Art 第2弾 缶バッジ (PRiSM PLUS),6,0,6,5280,0,31680,未下单
maimai,dx水彩成对吧唧,トレーディング Ani-Art 缶バッジ,7,0,7,5676,0,39732,未下单
maimai,角色圆吧唧,トレーディング缶バッジ (PRiSM PLUS),3,0,3,6435,0,19305,未下单
maimai,拍立得,トレーディングインスタントカメラ風イラストカード (PRiSM PLUS),4,0,4,3575,0,14300,未下单
maimai,生写,トレーディングブロマイド (PRiSM PLUS),2,2,0,3575,7150,0,已完成
maimai,新角色立牌,トレーディングアクリルスタンド (PRiSM PLUS),2,2,0,11440,22880,0,已完成
maimai,旧角色立牌,トレーディングアクリルスタンド,2,2,0,10560,21120,0,已完成
CHUNITHM,スクエア缶バッジ vol.1,トレーディング CHUNITHM スクエア缶バッジ,5,5,0,4400,22000,0,已下单
CHUNITHM,スクエア缶バッジ vol.2,トレーディング CHUNITHM スクエア缶バッジ vol.2,4,4,0,5500,22000,0,已下单
CHUNITHM,角丸スクエア缶バッジ VERSE,トレーディング角丸スクエア缶バッジ (CHUNITHM VERSE),4,4,0,7865,31460,0,已下单
CHUNITHM,Ani-Art イラストカード VERSE,トレーディング Ani-Art イラストカード (CHUNITHM VERSE),2,2,0,6160,12320,0,已下单
オンゲキ,スクエア缶バッジ ver.B,トレーディング オンゲキ スクエア缶バッジ ver.B,5,5,0,3960,19800,0,已下单
オンゲキ,スクエア缶バッジ vol.2,トレーディング オンゲキ スクエア缶バッジ vol.2 (bright MEMORY),5,5,0,9350,46750,0,已下单
合计,,,90,66,24,,456280,136477,
